教授,tokoro/tokoro.html, 所　 哲郎, TOKORO Tetsuro, 工学博士・学科長, tanδ, 誘電特性, 撥水性, シリコーンゴム,
教授,kumazaki/kumazaki.html, 熊﨑 裕教, KUMAZAKI Hironori, 博士（工学）, 光ファイバ, 微細加工, ファイバセンサ, 光通信用デバイス, 干渉計,
教授,tomita/index.html, 冨田 睦雄, TOMITA Mutsuwo, 博士（工学）, モータ制御, モータ開発, エアコン用モータ, 省エネルギー, 地球温暖化防止,
教授,habuchi/habuchi.html, 羽渕 仁恵, HABUCHI Hitoe, 博士（工学）, 窒化炭素, スパッタ, ホットワイヤー, 理科教育,
准教授,itomita/index.html,富田 　勲, TOMITA Isao, 博士（理学）, 光回路, 光導波路, 光集積回路, 量子効果デバイス,
准教授,iida/index.html, 飯田 民夫, IIDA Tamio, 博士（工学）, 薄膜, 超薄膜, 結晶, 半導体,
講師,shibata/index.html, 柴田 欣秀, SHIBATA Yoshihide, 博士（工学）, 核融合発電, プラズマ工学, 放電工学, 分光計測,
講師,shiraki/index.html, 白木 英二, SHIRAKI Eiji, 博士（工学）, フェムト秒パルス, 光ファイバ, 光変調器・光スイッチ, 光増幅,
特命教授,inaba/inaba.html,稲葉 成基, INABA Seiki, 工学博士,,,,,
技術長,katho/katho.html,加藤 真二, KATO Shinji,, アナログ回路, シンクロスコープ, 強電実験,,,
